iter	RMSE
0	33.44818485
1	30.5515901
2	27.91132269
3	25.47657602
4	23.28201899
5	21.25333653
6	19.39470517
7	17.72913783
8	16.22103776
9	14.82801907
10	13.57358685
11	12.41623624
12	11.366081
13	10.41988079
14	9.531797
15	8.731885407
16	8.009914409
17	7.357920972
18	6.764356676
19	6.227357654
20	5.743201551
21	5.307137553
22	4.916396427
23	4.560945402
24	4.242297066
25	3.956665896
26	3.705434765
27	3.4824515
28	3.27602579
29	3.096869593
30	2.941964088
31	2.801305442
32	2.680111896
33	2.572529825
34	2.481130955
35	2.390940512
36	2.320831076
37	2.259292437
38	2.208163887
39	2.15540814
40	2.119585169
41	2.08356356
42	2.054815131
43	2.02423888
44	2.000141327
45	1.975049243
46	1.952138995
47	1.931942716
48	1.91793317
49	1.904257339
50	1.893082976
51	1.880722422
52	1.870897462
53	1.86289283
54	1.850092646
55	1.84410058
56	1.835826985
57	1.828054989
58	1.8214204
59	1.816848443
60	1.808107978
61	1.803339802
62	1.797527934
63	1.793002199
64	1.790213123
65	1.785230234
66	1.779573025
67	1.774177044
68	1.769925666
69	1.767541484
70	1.762537027
71	1.759730204
72	1.75740146
73	1.75473724
74	1.752080356
75	1.748877625
76	1.744665212
77	1.743264576
78	1.740469977
79	1.738378237
80	1.735137482
81	1.731899495
82	1.728592732
83	1.727464381
84	1.723905142
85	1.721895632
86	1.720362046
87	1.718925047
88	1.716464529
89	1.71464803
90	1.712677395
91	1.710671598
92	1.708177917
93	1.706421206
94	1.704718402
95	1.702755342
96	1.700729038
97	1.698818841
98	1.697123785
99	1.695238027
100	1.693400179
101	1.692228365
102	1.690553153
103	1.689272869
104	1.687996778
105	1.685679029
106	1.684254522
107	1.683057147
108	1.681453408
109	1.679168684
110	1.677265225
111	1.674851413
112	1.674122889
113	1.67247928
114	1.671103948
115	1.669749951
116	1.668850349
117	1.667545755
118	1.666384019
119	1.665365244
120	1.664447661
121	1.663736762
122	1.662918699
123	1.662057414
124	1.661336224
125	1.658569379
126	1.658041032
127	1.656962484
128	1.654927501
129	1.653100171
130	1.652398943
131	1.651766146
132	1.650827358
133	1.649305424
134	1.647316381
135	1.645948286
136	1.645173162
137	1.64372412
138	1.643285359
139	1.64275322
140	1.642208853
141	1.641729944
142	1.640717822
143	1.639638203
144	1.638802752
145	1.638401488
146	1.638077319
147	1.63628804
148	1.635930639
149	1.633999727
150	1.632380102
151	1.631567531
152	1.631022152
153	1.630692777
154	1.6300177
155	1.628909256
156	1.628249676
157	1.62779891
158	1.626814546
159	1.625576671
160	1.624851793
161	1.623757022
162	1.622698483
163	1.622199909
164	1.621589703
165	1.621035294
166	1.620654198
167	1.619698704
168	1.619377672
169	1.618884195
170	1.618070256
171	1.617624264
172	1.617127769
173	1.61684699
174	1.616370866
175	1.615947728
176	1.615703121
177	1.614868924
178	1.614463916
179	1.613313845
180	1.612882278
181	1.612558583
182	1.611801816
183	1.611060367
184	1.610330574
185	1.609966152
186	1.609686287
187	1.609317934
188	1.608373341
189	1.607627402
190	1.607160844
191	1.606690489
192	1.605986549
193	1.60557355
194	1.605195962
195	1.604477301
196	1.604084328
197	1.603895166
198	1.603321502
199	1.602986428
200	1.602634177
201	1.602086432
202	1.601925143
203	1.601416732
204	1.601099545
205	1.60090934
206	1.600653428
207	1.600316204
208	1.599762829
209	1.599480769
210	1.599063623
211	1.598652753
212	1.598417311
213	1.597901113
214	1.597742682
215	1.597460511
216	1.597212313
217	1.596872381
218	1.596707796
219	1.596219067
220	1.595941209
221	1.595678905
222	1.59534803
223	1.595129272
224	1.595064336
225	1.594759889
226	1.594184162
227	1.593562323
228	1.593065857
229	1.592513209
230	1.592152683
231	1.591852443
232	1.591572619
233	1.591324818
234	1.591134331
235	1.590800989
236	1.5903852
237	1.589971124
238	1.589605496
239	1.589269383
240	1.589116061
241	1.588937049
242	1.588694293
243	1.588431603
244	1.588275838
245	1.587940634
246	1.58750309
247	1.587118813
248	1.586714142
249	1.586634136
250	1.586419592
251	1.586123566
252	1.585846868
253	1.585776506
254	1.585617045
255	1.585335309
256	1.585000083
257	1.584856895
258	1.584509922
259	1.584286519
260	1.584126684
261	1.58390994
262	1.583734324
263	1.583568332
264	1.583285478
265	1.583078483
266	1.582820348
267	1.582539858
268	1.582478076
269	1.582062684
270	1.581760213
271	1.581566949
272	1.581411778
273	1.581048516
274	1.580731832
275	1.580387074
276	1.580215884
277	1.580086122
278	1.579846345
279	1.579638427
280	1.579457495
281	1.579088611
282	1.578839649
283	1.578771388
284	1.578580294
285	1.578347782
286	1.578173761
287	1.577980447
288	1.577737989
289	1.577520391
290	1.57731696
291	1.577254205
292	1.57697101
293	1.576663103
294	1.576501053
295	1.576211744
296	1.575996765
297	1.575834876
298	1.575650673
299	1.575465801
300	1.575297732
301	1.575161555
302	1.574998367
303	1.57481681
304	1.574670078
305	1.574543156
306	1.57434498
307	1.574152464
308	1.573977091
309	1.573793816
310	1.573559363
311	1.573419024
312	1.573239876
313	1.573114377
314	1.572870619
315	1.572755248
316	1.572670827
317	1.572441012
318	1.572291989
319	1.572172995
320	1.572012107
321	1.571846205
322	1.571734303
323	1.571588998
324	1.571563735
325	1.571429592
326	1.571336115
327	1.5713142
328	1.571208986
329	1.571060868
330	1.570988744
331	1.570883549
332	1.570804014
333	1.570653566
334	1.570446231
335	1.570198105
336	1.570024313
337	1.569882605
338	1.569725553
339	1.569651066
340	1.569521296
341	1.569347996
342	1.569273476
343	1.569161818
344	1.569004596
345	1.568904112
346	1.568813871
347	1.568778031
348	1.568610572
349	1.568539212
350	1.568361636
351	1.568160771
352	1.568059207
353	1.56801431
354	1.56790347
355	1.567789478
356	1.567668903
357	1.567441399
358	1.567304616
359	1.567180166
360	1.567079789
361	1.566907638
362	1.566740661
363	1.566656312
364	1.56653384
365	1.566460247
366	1.566377187
367	1.566235342
368	1.566116759
369	1.566035286
370	1.565961905
371	1.565793892
372	1.565671933
373	1.565563558
374	1.565483947
375	1.565425313
376	1.565308348
377	1.56515869
378	1.565048374
379	1.564969355
380	1.564906918
381	1.56481922
382	1.564710847
383	1.564611783
384	1.564505927
385	1.564362528
386	1.56425083
387	1.564196095
388	1.564179858
389	1.56401579
390	1.56388153
391	1.563780746
392	1.563669637
393	1.563571608
394	1.563317987
395	1.563267191
396	1.563104092
397	1.563011482
398	1.562908751
399	1.56280787
400	1.562709128
401	1.562614422
402	1.562517317
403	1.562460415
404	1.56235072
405	1.562282889
406	1.56222591
407	1.562147107
408	1.562063878
409	1.561933779
410	1.561741126
411	1.561699866
412	1.561634396
413	1.561594793
414	1.561498804
415	1.561436604
416	1.561354265
417	1.561288522
418	1.561170293
419	1.561095472
420	1.560977231
421	1.560907948
422	1.560864411
423	1.560829582
424	1.560746333
425	1.560711095
426	1.560627569
427	1.560538145
428	1.560483229
429	1.560401691
430	1.560321367
431	1.560235393
432	1.560162459
433	1.560131163
434	1.560042341
435	1.559970609
436	1.559930377
437	1.559880686
438	1.559794998
439	1.559689444
440	1.559676861
441	1.55945359
442	1.559386731
443	1.559295871
444	1.559219483
445	1.559189951
446	1.559120141
447	1.559039837
448	1.558981714
449	1.558933863
450	1.558878388
451	1.558753263
452	1.558688166
453	1.558631983
454	1.558534359
455	1.55845042
456	1.558378914
457	1.558346162
458	1.558207115
459	1.558183586
460	1.558101263
461	1.558022498
462	1.557946516
463	1.557885432
464	1.557823562
465	1.557754203
466	1.55761619
467	1.557550267
468	1.557522179
469	1.557365808
470	1.55729044
471	1.557247763
472	1.557177864
473	1.557127538
474	1.557045422
475	1.557010386
476	1.556959922
477	1.556871721
478	1.556804399
479	1.556735215
480	1.556623758
481	1.556600716
482	1.556527377
483	1.55646158
484	1.556385597
485	1.556310999
486	1.556306052
487	1.556275901
488	1.556213487
489	1.556160697
490	1.556093972
491	1.556044931
492	1.555975068
493	1.555808545
494	1.555781463
495	1.555720164
496	1.555611546
497	1.555488915
498	1.555412588
499	1.555365672
500	1.555343959
501	1.555280263
502	1.555228133
503	1.555133133
504	1.555070603
505	1.554960862
506	1.55489155
507	1.554853815
508	1.554701875
509	1.554602997
510	1.554532485
511	1.554482617
512	1.554411504
513	1.554385964
514	1.554328243
515	1.554281657
516	1.554241949
517	1.554200337
518	1.554141759
519	1.554119396
520	1.554040084
521	1.554004804
522	1.553983769
523	1.553916722
524	1.553882414
525	1.553826559
526	1.553765937
527	1.553712622
528	1.553641723
529	1.553598463
530	1.553567911
531	1.553525128
532	1.553471941
533	1.553418003
534	1.553374087
535	1.553321327
536	1.553257693
537	1.553229444
538	1.553153822
539	1.553024042
540	1.552984383
541	1.55296435
542	1.552931381
543	1.552875462
544	1.552836568
545	1.552811374
546	1.55276336
547	1.552706517
548	1.552671246
549	1.552623267
550	1.552577143
551	1.552531025
552	1.552494721
553	1.55244552
554	1.552407111
555	1.552373835
556	1.552326193
557	1.552293176
558	1.552265875
559	1.552248566
560	1.552198142
561	1.552147516
562	1.552117865
563	1.552073101
564	1.552065443
565	1.551988429
566	1.551946728
567	1.551923205
568	1.551891728
569	1.551777543
570	1.551735603
571	1.551692861
572	1.551689122
573	1.551643606
574	1.551623712
575	1.551594935
576	1.551563576
577	1.551547439
578	1.551514609
579	1.551467811
580	1.551433243
581	1.551398132
582	1.5513633
583	1.551347174
584	1.551334773
585	1.55130379
586	1.551208088
587	1.551180549
588	1.551133574
589	1.551120449
590	1.551081718
591	1.551052742
592	1.551013163
593	1.550981377
594	1.550954945
595	1.550925296
596	1.550877841
597	1.550851297
598	1.550820176
599	1.550751944
600	1.550705975
601	1.550666263
602	1.550630594
603	1.550613513
604	1.550586153
605	1.550570196
606	1.550554449
607	1.550516508
608	1.550486395
609	1.550469672
610	1.550441299
611	1.550411092
612	1.550386942
613	1.550316603
614	1.550256719
615	1.550235798
616	1.550206948
617	1.550170994
618	1.550136704
619	1.550110599
620	1.550075929
621	1.550041806
622	1.549983393
623	1.54994058
624	1.549913976
625	1.54989508
626	1.549884017
627	1.54988101
628	1.549834457
629	1.549796098
630	1.549793365
631	1.549773544
632	1.549739107
633	1.549685019
634	1.549670904
635	1.549636124
636	1.549603934
637	1.549572859
638	1.549525024
