iter	Passed	Remaining
0	2	1600
1	3	1409
2	5	1332
3	6	1300
4	8	1276
5	10	1270
6	11	1262
7	13	1253
8	14	1251
9	16	1243
10	18	1241
11	19	1230
12	21	1224
13	22	1218
14	24	1214
15	25	1211
16	27	1215
17	29	1213
18	30	1212
19	32	1208
20	34	1206
21	35	1204
22	37	1200
23	38	1199
24	40	1197
25	42	1194
26	43	1197
27	45	1197
28	47	1198
29	48	1197
30	50	1196
31	52	1196
32	53	1195
33	55	1192
34	57	1189
35	58	1186
36	60	1185
37	62	1186
38	63	1187
39	65	1187
40	67	1184
41	68	1182
42	70	1181
43	71	1178
44	73	1176
45	75	1176
46	77	1176
47	78	1173
48	80	1169
49	81	1166
50	83	1162
51	84	1160
52	86	1156
53	87	1153
54	89	1151
55	90	1149
56	92	1149
57	94	1147
58	95	1145
59	97	1142
60	98	1139
61	100	1136
62	101	1133
63	103	1129
64	104	1127
65	106	1125
66	107	1123
67	109	1122
68	111	1119
69	112	1118
70	114	1115
71	115	1112
72	117	1109
73	118	1106
74	119	1103
75	121	1100
76	122	1098
77	124	1097
78	126	1096
79	127	1094
80	129	1091
81	130	1089
82	132	1086
83	133	1083
84	135	1081
85	136	1079
86	138	1076
87	139	1074
88	141	1074
89	143	1073
90	144	1073
91	146	1071
92	148	1070
93	149	1067
94	151	1065
95	152	1063
96	154	1061
97	155	1059
98	157	1057
99	158	1055
100	160	1053
101	161	1051
102	163	1049
103	164	1047
104	166	1046
105	167	1044
106	169	1041
107	170	1039
108	172	1038
109	174	1038
110	175	1036
111	177	1034
112	178	1032
113	180	1030
114	181	1028
115	183	1026
116	184	1024
117	186	1022
118	188	1020
119	189	1020
120	191	1018
121	192	1016
122	194	1014
123	195	1012
124	197	1010
125	198	1008
126	200	1006
127	201	1005
128	203	1003
129	205	1002
130	206	1001
131	208	1000
132	210	998
133	211	996
134	213	995
135	214	993
136	216	991
137	217	988
138	219	987
139	220	985
140	222	984
141	224	983
142	225	981
143	227	980
144	228	978
145	230	976
146	231	974
147	233	972
148	234	970
149	236	968
150	237	967
151	239	966
152	241	964
153	242	962
154	244	960
155	245	958
156	247	957
157	248	954
158	250	953
159	251	951
160	253	950
161	255	949
162	256	948
163	258	947
164	260	946
165	261	944
166	263	942
167	264	941
168	266	939
169	267	937
170	269	936
171	271	935
172	273	934
173	274	932
174	276	930
175	277	929
176	279	927
177	280	925
178	282	923
179	283	921
180	284	919
181	286	917
182	288	916
183	289	914
184	291	913
185	292	911
186	294	909
187	295	907
188	297	906
189	298	904
190	300	902
191	302	901
192	303	900
193	305	899
194	307	897
195	308	896
196	310	894
197	311	892
198	313	891
199	314	889
200	316	887
201	317	886
202	319	884
203	321	883
204	322	882
205	324	880
206	325	878
207	327	877
208	329	875
209	330	873
210	331	871
211	333	869
212	334	868
213	336	866
214	338	864
215	339	863
216	341	861
217	342	859
218	344	858
219	345	856
220	347	854
221	348	853
222	350	851
223	351	849
224	353	848
225	355	847
226	356	845
227	358	843
228	359	842
229	361	840
230	362	838
231	364	836
232	365	834
233	366	832
234	368	831
235	370	829
236	371	827
237	373	826
238	374	824
239	376	822
240	377	821
241	379	819
242	380	817
243	381	815
244	383	814
245	385	813
246	386	811
247	388	809
248	390	808
249	391	806
250	393	805
251	394	803
252	396	801
253	397	799
254	398	797
255	400	796
256	402	795
257	403	793
258	405	792
259	407	790
260	408	788
261	410	787
262	411	785
263	413	783
264	414	781
265	416	780
266	417	779
267	419	778
268	421	776
269	422	774
270	424	772
271	425	771
272	427	769
273	428	768
274	430	766
275	431	764
276	433	763
277	435	762
278	436	760
279	438	758
280	439	757
281	440	755
282	442	753
283	443	751
284	445	750
285	446	748
286	448	746
287	449	745
288	451	743
289	453	742
290	454	740
291	456	738
292	457	737
293	459	735
294	460	733
295	462	732
296	463	730
297	465	729
298	467	728
299	469	727
300	470	725
301	472	724
302	473	722
303	475	720
304	476	719
305	478	717
306	480	716
307	481	714
308	483	713
309	484	711
310	486	709
311	487	708
312	489	706
313	490	704
314	492	703
315	493	701
316	495	699
317	496	698
318	498	697
319	500	695
320	501	694
321	503	692
322	504	690
323	506	689
324	507	687
325	509	685
326	510	683
327	511	682
328	513	680
329	515	679
330	517	678
331	518	676
332	520	675
333	521	673
334	523	671
335	524	670
336	526	668
337	527	666
338	529	665
339	531	663
340	532	662
341	534	660
342	535	659
343	537	657
344	538	655
345	540	654
346	541	652
347	543	650
348	544	649
349	545	647
350	547	645
351	548	644
352	550	642
353	551	640
354	553	639
355	555	637
356	556	636
357	558	634
358	559	632
359	561	631
360	562	630
361	564	628
362	566	627
363	568	626
364	569	624
365	571	622
366	572	621
367	574	619
368	575	617
369	577	616
370	578	614
371	580	613
372	581	611
373	583	609
374	585	608
375	586	606
376	587	605
377	589	603
378	590	601
379	592	600
380	593	598
381	595	597
382	597	595
383	598	594
384	600	592
385	601	591
386	603	589
387	604	587
388	606	586
389	607	584
390	609	583
391	611	581
392	612	580
393	614	578
394	615	576
395	617	575
396	618	573
397	620	571
398	621	570
399	623	568
400	624	567
401	626	565
402	627	563
403	629	562
404	630	560
405	632	559
406	633	557
407	635	556
408	636	554
409	638	552
410	639	551
411	641	549
412	643	548
413	644	546
414	646	545
415	648	543
416	650	542
417	651	541
418	653	539
419	654	537
420	656	536
421	657	534
422	659	533
423	661	531
424	662	530
425	664	528
426	665	526
427	667	525
428	668	523
429	670	522
430	671	520
431	673	519
432	674	517
433	676	516
434	678	514
435	680	513
436	682	512
437	684	510
438	685	509
439	687	507
440	689	506
441	690	504
442	692	503
443	694	501
444	696	500
445	697	499
446	699	497
447	701	496
448	702	494
449	704	493
450	705	491
451	707	490
452	709	488
453	711	487
454	713	485
455	714	484
456	716	482
457	717	481
458	719	479
459	721	478
460	722	476
461	724	475
462	726	473
463	728	472
464	729	470
465	731	469
466	732	467
467	734	466
468	735	464
469	737	462
470	739	461
471	740	459
472	742	458
473	744	456
474	745	455
475	747	453
476	748	452
477	750	450
478	752	449
479	753	447
480	755	446
481	758	445
482	760	443
483	761	442
484	763	440
485	765	439
486	766	437
487	767	435
488	769	434
489	771	432
490	772	431
491	774	429
492	776	428
493	777	426
494	779	425
495	781	423
496	782	422
497	784	420
498	785	418
499	787	417
500	788	415
501	790	414
502	792	412
503	793	410
504	795	409
505	796	407
506	798	406
507	799	404
508	801	402
509	802	401
510	804	399
511	805	398
512	807	396
513	808	394
514	810	393
515	811	391
516	813	390
517	814	388
518	816	386
519	817	384
520	818	383
521	820	381
522	821	380
523	823	378
524	824	377
525	826	375
526	827	373
527	829	372
528	830	370
529	832	368
530	833	367
531	835	365
532	836	364
533	838	362
534	839	361
535	841	359
536	842	357
537	844	356
538	845	354
539	847	353
540	848	351
541	850	349
542	851	348
543	853	346
544	855	345
545	856	343
546	858	342
547	859	340
548	861	338
549	862	337
550	864	335
551	865	334
552	867	332
553	868	330
554	870	329
555	872	328
556	874	326
557	876	324
558	877	323
559	879	321
560	880	320
561	882	318
562	883	317
563	885	315
564	886	313
565	888	312
566	889	310
567	891	309
568	893	307
569	894	306
570	896	304
571	897	302
572	898	301
573	900	299
574	901	298
575	903	296
576	905	294
577	906	293
578	908	291
579	910	290
580	911	288
581	913	287
582	914	285
583	916	283
584	917	282
585	919	280
586	921	279
587	922	277
588	924	276
589	925	274
590	927	272
591	928	271
592	930	269
593	931	268
594	933	266
595	934	265
596	936	263
597	937	261
598	939	260
599	940	258
600	942	257
601	943	255
602	945	253
603	946	252
604	948	250
605	949	249
606	951	247
607	952	246
608	954	244
609	956	242
610	957	241
611	959	239
612	960	238
613	962	236
614	963	235
615	965	233
616	966	231
617	968	230
618	970	228
619	971	227
620	973	225
621	974	224
622	976	222
623	977	220
624	979	219
625	980	217
626	982	216
627	983	214
628	985	213
629	987	211
630	988	210
631	990	208
632	992	206
633	994	205
634	995	203
635	997	202
636	998	200
637	1000	199
638	1002	197
639	1003	196
640	1005	194
641	1007	192
642	1008	191
643	1010	189
644	1011	188
645	1013	186
646	1015	185
647	1016	183
648	1018	182
649	1019	180
650	1021	178
651	1022	177
652	1024	175
653	1025	174
654	1027	172
655	1028	170
656	1030	169
657	1031	167
658	1033	166
659	1034	164
660	1036	163
661	1037	161
662	1039	159
663	1040	158
664	1042	156
665	1043	155
666	1044	153
667	1046	151
668	1047	150
669	1049	148
670	1051	147
671	1052	145
672	1054	144
673	1055	142
674	1057	140
675	1058	139
676	1060	137
677	1061	136
678	1063	134
679	1065	133
680	1066	131
681	1068	130
682	1070	128
683	1072	126
684	1073	125
685	1075	123
686	1076	122
687	1078	120
688	1079	119
689	1081	117
690	1083	115
691	1085	114
692	1086	112
693	1088	111
694	1089	109
695	1091	108
696	1092	106
697	1094	105
698	1095	103
699	1097	101
700	1099	100
701	1100	98
702	1102	97
703	1103	95
704	1105	94
705	1106	92
706	1108	90
707	1109	89
708	1110	87
709	1112	86
710	1114	84
711	1115	83
712	1117	81
713	1118	79
714	1120	78
715	1121	76
716	1123	75
717	1124	73
718	1125	72
719	1127	70
720	1128	68
721	1130	67
722	1132	65
723	1133	64
724	1135	62
725	1136	61
726	1138	59
727	1140	57
728	1141	56
729	1143	54
730	1144	53
731	1146	51
732	1147	50
733	1149	48
734	1151	46
735	1152	45
736	1154	43
737	1155	42
738	1157	40
739	1158	39
740	1160	37
741	1161	36
742	1163	34
