iter	RMSE
0	0.9998686188
1	0.9931640826
2	0.9892954081
3	0.9878984673
4	0.9866804405
5	0.9838764221
6	0.9826816968
7	0.9799214068
8	0.9771448696
9	0.9734755983
10	0.9700214478
11	0.9694466295
12	0.9653237986
13	0.9624768282
14	0.9621217229
15	0.9597944438
16	0.9577894648
17	0.9554077074
18	0.9538702783
19	0.9532113273
20	0.951960339
21	0.9506573728
22	0.9498333878
23	0.9491105342
24	0.9456690546
25	0.9453940659
26	0.944575431
27	0.9434173671
28	0.9402442822
29	0.9392361321
30	0.9381753155
31	0.9370295624
32	0.9363921725
33	0.9330969515
34	0.9323237493
35	0.9321695055
36	0.9302049236
37	0.92971854
38	0.9290378925
39	0.9287460584
40	0.9278759096
41	0.9272719164
42	0.926606934
43	0.9263343191
44	0.9260842183
45	0.9260298974
46	0.9245691562
47	0.9243838242
48	0.9241628285
49	0.9237797928
50	0.9208486891
51	0.9199713162
52	0.9195649442
53	0.9195014748
54	0.9181249226
55	0.9171409447
56	0.9157763444
57	0.9147537883
58	0.9132762074
59	0.9128694167
60	0.9122893786
61	0.9118948726
62	0.9115915456
63	0.9112606345
64	0.9108101144
65	0.9095874473
66	0.9093169999
67	0.9085039965
68	0.9070944506
69	0.9066851262
70	0.905954325
71	0.9055511173
72	0.904833636
73	0.9029750032
74	0.9024197984
75	0.9013912328
76	0.899264816
77	0.8983698235
78	0.8976047525
79	0.8970054134
80	0.896329731
81	0.8954764141
82	0.8952204143
83	0.8937246755
84	0.8930913752
85	0.8920923802
86	0.8899361405
87	0.8886410075
88	0.8868182759
89	0.8854101722
90	0.8834417185
91	0.8823579059
92	0.881202991
93	0.8796701414
94	0.8781245088
95	0.8767430429
96	0.875031648
97	0.8730122964
98	0.8713547982
99	0.8697552726
100	0.8682884036
101	0.8657357832
102	0.8637817151
103	0.8613604332
104	0.859354532
105	0.8568159775
106	0.8532824828
107	0.8504557008
108	0.8479297001
109	0.8452542693
110	0.8436587213
111	0.8413504656
112	0.8378507683
113	0.8346127946
114	0.8311999982
115	0.8287506629
116	0.8264183116
117	0.8238576313
118	0.8228129882
119	0.8207553244
120	0.8178481556
121	0.8151938287
122	0.8129002047
123	0.8103880142
124	0.8083959767
125	0.8061153091
126	0.8037425414
127	0.8010508613
128	0.7988955676
129	0.7965147058
130	0.7948444635
131	0.7928928771
132	0.7909024261
133	0.7883299652
134	0.7877206619
135	0.7865794472
136	0.7858241839
137	0.7838430082
138	0.7820765214
139	0.779690436
140	0.7779731962
141	0.7754977896
142	0.7736000575
143	0.7717024802
144	0.7702109501
145	0.7679170007
146	0.7664805636
147	0.7642648202
148	0.7635488337
149	0.7617498692
150	0.7596388971
151	0.7578071766
152	0.7560612359
153	0.7545281019
154	0.7533251583
155	0.7518256377
156	0.749929994
157	0.7481533727
158	0.7459410102
159	0.744354246
160	0.7426551723
161	0.7410856007
162	0.7394198995
163	0.7389780565
164	0.7373844518
165	0.7358666658
166	0.734181687
167	0.732888035
168	0.7313897219
169	0.729336501
170	0.727545541
171	0.7260608411
172	0.7241418406
173	0.7224167582
174	0.7208126984
175	0.7189604051
176	0.7180617552
177	0.716416957
178	0.7150861805
179	0.7133421711
180	0.7117278904
181	0.7098238594
182	0.7081005798
183	0.706144308
184	0.7048239691
185	0.7031682176
186	0.7014790478
187	0.7002916067
188	0.6987418089
189	0.6969513781
190	0.6955007761
191	0.694605093
192	0.6934344204
193	0.6923559929
194	0.6906834324
195	0.689495043
196	0.6885036457
197	0.6866874795
198	0.6857710646
199	0.6840539823
200	0.6825029567
201	0.6813560587
202	0.6799206268
203	0.6789099589
204	0.6776608524
205	0.6761495467
206	0.6748226825
207	0.6735732561
208	0.6722553258
209	0.6707099755
210	0.669682453
211	0.6679634243
212	0.6668166378
213	0.6658419975
214	0.6649613818
215	0.6633232137
216	0.6614292006
217	0.660062877
218	0.6591466764
219	0.6579178913
220	0.6572235749
221	0.6565420202
222	0.6554044748
223	0.6542750793
224	0.6532569844
225	0.6526282319
226	0.6512848419
227	0.6497033976
228	0.6486411593
229	0.6475609535
230	0.6464455118
231	0.6452625564
232	0.6442341695
233	0.6430282172
234	0.6419013814
235	0.6405373994
236	0.6396385544
237	0.6387709768
238	0.6377611131
239	0.6366390088
240	0.635328961
241	0.6342821244
242	0.6333023334
243	0.6326335476
244	0.6315958694
245	0.6312060462
246	0.6306135544
247	0.6292085728
248	0.6280768869
249	0.6274647577
250	0.6261978251
251	0.6248267254
252	0.624107822
253	0.6231184086
254	0.6216858888
255	0.6205104928
256	0.6196977018
257	0.6183647221
258	0.6171098277
259	0.6161007309
260	0.6150755082
261	0.6136450577
262	0.6124039734
263	0.6116940629
264	0.6103113956
265	0.6092936396
266	0.6078713155
267	0.6068266382
268	0.6057879499
269	0.6056101973
270	0.6043236398
271	0.6032705133
272	0.6021724448
273	0.6010290594
274	0.5999617487
275	0.5994370193
276	0.5985811401
277	0.5973197594
278	0.5969936993
279	0.5956853439
280	0.5946069456
281	0.5932618068
282	0.5918704191
283	0.5910125004
284	0.5900897461
285	0.589571603
286	0.5888331102
287	0.5886845416
288	0.5876671607
289	0.5867171357
290	0.5865613022
291	0.5856144537
292	0.5846340492
293	0.5841506816
294	0.5839958261
295	0.5836796563
296	0.5823696218
297	0.5822316811
298	0.5813492145
299	0.5810157289
300	0.5797621514
301	0.5783483722
302	0.5772489156
303	0.5767106516
304	0.575643645
305	0.5745846566
306	0.5733214665
307	0.5725906787
308	0.5719862867
309	0.5706336206
310	0.5699957619
311	0.5690613364
