iter	Passed	Remaining
0	213	136629
1	446	142589
2	668	142021
3	888	141260
4	1104	140289
5	1342	141863
6	1576	142593
7	1800	142242
8	2039	143015
9	2260	142407
10	2477	141667
11	2690	140824
12	2906	140194
13	3123	139654
14	3355	139823
15	3586	139882
16	3812	139698
17	4031	139315
18	4237	138504
19	4465	138425
20	4688	138210
21	4905	137788
22	5107	137006
23	5320	136556
24	5539	136265
25	5779	136480
26	5989	135977
27	6217	135898
28	6431	135514
29	6655	135332
30	6878	135137
31	7090	134725
32	7295	134194
33	7505	133773
34	7757	134091
35	7975	133807
36	8196	133576
37	8418	133364
38	8638	133124
39	8858	132872
40	9062	132401
41	9286	132217
42	9507	132003
43	9733	131851
44	9974	131890
45	10203	131759
46	10419	131462
47	10655	131418
48	10895	131414
49	11129	131324
50	11346	131037
51	11572	130853
52	11788	130566
53	12023	130472
54	12258	130384
55	12468	130031
56	12682	129717
57	12905	129504
58	13142	129419
59	13351	129068
60	13585	128949
61	13803	128687
62	14013	128347
63	14233	128098
64	14442	127763
65	14650	127419
66	14875	127218
67	15098	127009
68	15320	126785
69	15534	126492
70	15750	126225
71	15980	126068
72	16223	126011
73	16463	125924
74	16690	125732
75	16909	125488
76	17123	125205
77	17344	124968
78	17560	124704
79	17784	124494
80	18007	124274
81	18227	124036
82	18454	123842
83	18663	123531
84	18889	123338
85	19114	123129
86	19325	122837
87	19546	122607
