Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price
2014,40929,32.26,998,58.2,4.0,0.7181543445105572
2013,54493,24.7,796,47.3,5.0,-0.9616197038371626
2017,34000,13.68,2393,147.8,7.0,14.811242663208196
2014,29000,18.5,1197,82.85,5.0,4.793721862858126
2016,85609,16.0,2179,140.0,7.0,13.683769105025641
2015,59000,12.55,2982,168.7,7.0,17.815555210993686
2013,65000,21.1,814,55.2,5.0,0.3936956696322351
2011,66000,17.0,1497,118.0,5.0,10.58790300689522
2015,54684,15.1,2179,140.0,7.0,13.683769105025641
2012,78000,12.8,1968,167.6,5.0,18.712860980703603
2016,21000,18.9,1197,82.0,5.0,4.645817385375292
2007,90000,13.4,1794,125.0,5.0,11.48705690736656
2008,87628,17.8,1248,75.0,5.0,3.373022829769223
2014,45000,13.24,1598,102.5,5.0,7.782379674286277
2013,30788,17.05,1995,184.0,5.0,21.537558008609928
2015,39524,19.59,1995,184.0,5.0,21.537558008609928
2009,140000,13.8,1399,68.0,5.0,1.992860269814095
2019,15409,22.0,1197,81.8,5.0,4.611016331849919
2015,36502,17.5,1298,85.8,5.0,5.198595717964825
2016,200000,23.2,1248,73.94,5.0,3.1885772460847477
2010,70000,18.06,1198,75.0,5.0,3.4267068319437524
2017,36701,24.7,796,47.3,5.0,-0.9616197038371626
2011,40000,15.5,1799,132.0,5.0,12.699725380537155
2005,47000,13.8,1299,70.0,5.0,2.448238809416882
2006,93500,19.7,796,46.3,5.0,-1.1356249714640265
2015,52000,27.3,1498,98.6,5.0,7.211127134890566
2015,55429,21.66,1498,103.52,5.0,8.067233051614737
2011,133000,17.0,1197,80.0,5.0,4.297806850121564
2014,70000,23.59,1364,67.06,5.0,1.8668741197670133
2014,68000,15.11,1598,103.6,5.0,7.9737854686758265
2010,71000,19.81,1086,68.05,5.0,2.337622386807995
2012,121000,10.5,2835,107.2,6.0,7.272062218334668
2015,107000,23.4,1248,74.0,5.0,3.199017562142359
2015,51000,19.1,1197,85.8,5.0,5.307037402357375
2017,13500,14.84,1598,103.52,5.0,7.959865047265678
2016,13000,15.29,1591,121.3,5.0,11.061194465975754
2010,81000,12.8,2494,102.0,8.0,6.733359721505268
2012,66889,22.48,1995,190.0,5.0,22.58158961437112
2018,32000,27.39,1248,74.0,5.0,3.199017562142359
2013,87001,17.11,1968,174.33,5.0,19.883916431832404
2013,55000,16.55,1968,140.0,5.0,13.910315594202158
2018,4000,15.41,1598,103.52,5.0,7.959865047265678
