Country_code,ranking,,,
USA,1,,,
CHN,2,,,
DEU,3,,,
JPN,4,,,
IND,5,,,
GBR,6,,,
FRA,7,,,
ITA,8,,,
BRA,9,,,
CAN,10,,,
RUS,11,,,
MEX,12,,,
AUS,13,,,
KOR,14,,,
ESP,15,,,
IDN,16,,,
NLD,17,,,
TUR,18,,,
SAU,19,,,
CHE,20,,,
POL,21,,,
ARG,22,,,
BEL,23,,,
SWE,24,,,
IRL,25,,,
AUT,26,,,
THA,27,,,
ISR,28,,,
ARE,29,,,
SGP,30,,,
NOR,31,,,
BGD,32,,,
PHL,33,,,
VNM,34,,,
DNK,35,,,
IRN,36,,,
MYS,37,,,
EGY,38,,,
HKG,39,,,
ZAF,40,,,
COL,41,,,
NGA,42,,,
ROU,43,,,
PAK,44,,,
CHL,45,,,
CZE,46,,,
FIN,47,,,
PRT,48,,,
PER,49,,,
KAZ,50,,,
NZL,51,,,
IRQ,52,,,
DZA,53,,,
GRC,54,,,
QAT,55,,,
HUN,56,,,
UKR,57,,,
ETH,58,,,
KWT,59,,,
MAR,60,,,
SVK,61,,,
DOM,62,,,
ECU,63,,,
PRI,64,,,
SDN,65,,,
OMN,66,,,
KEN,67,,,
GTM,68,,,
BGR,69,,,
UZB,70,,,
CRI,71,,,
LUX,72,,,
AGO,73,,,
LKA,74,,,
PAN,75,,,
HRV,76,,,
TZA,77,,,
CIV,78,,,
LTU,79,,,
URY,80,,,
GHA,81,,,
SRB,82,,,
AZE,83,,,
BLR,84,,,
SVN,85,,,
COD,86,,,
MMR,87,,,
TKM,88,,,
JOR,89,,,
LBY,90,,,
UGA,91,,,
TUN,92,,,
CMR,93,,,
MAC,94,,,
BOL,95,,,
LVA,96,,,
BHR,97,,,
PRY,98,,,
NPL,99,,,
EST,100,,,
HND,101,,,
SLV,102,,,
CYP,103,,,
KHM,104,,,
ISL,105,,,
SEN,106,,,
PNG,107,,,
GEO,108,,,
ZMB,109,,,
TTO,110,,,
BIH,111,,,
ZWE,112,,,
ARM,113,,,
GIN,114,,,
ALB,115,,,
MLT,116,,,
MLI,117,,,
MOZ,118,,,
GAB,119,,,
BFA,120,,,
MNG,121,,,
HTI,122,,,
BEN,123,,,
JAM,124,,,
BWA,125,,,
LBN,126,,,
NIC,127,,,
PSE,128,,,
NER,129,,,
GUY,130,,,
MDA,131,,,
MDG,132,,,
LAO,133,,,
COG,134,,,
BRN,135,,,
MKD,136,,,
AFG,137,,,
MUS,138,,,
BHS,139,,,
RWA,140,,,
MWI,141,,,
KGZ,142,,,
TCD,143,,,
NAM,144,,,
GNQ,145,,,
TJK,146,,,
SOM,147,,,
CHI,148,,,
MRT,149,,,
XKX,150,,,
NCL,151,,,
TGO,152,,,
SYR,153,,,
MCO,154,,,
IMN,155,,,
BMU,156,,,
MNE,157,,,
LIE,158,,,
GUM,159,,,
CYM,160,,,
MDV,161,,,
BRB,162,,,
PYF,163,,,
FJI,164,,,
SWZ,165,,,
VIR,166,,,
LBR,167,,,
DJI,168,,,
SLE,169,,,
SUR,170,,,
AND,171,,,
FRO,172,,,
ABW,173,,,
BLZ,174,,,
GRL,175,,,
CUW,176,,,
BTN,177,,,
BDI,178,,,
CPV,179,,,
CAF,180,,,
LCA,181,,,
GMB,182,,,
TLS,183,,,
SYC,184,,,
LSO,185,,,
ATG,186,,,
GNB,187,,,
SMR,188,,,
SLB,189,,,
SXM,190,,,
TCA,191,,,
COM,192,,,
GRD,193,,,
VUT,194,,,
KNA,195,,,
VCT,196,,,
WSM,197,,,
ASM,198,,,
DMA,199,,,
MAF,200,,,
STP,201,,,
TON,202,,,
FSM,203,,,
MHL,204,,,
KIR,205,,,
PLW,206,,,
NRU,207,,,
TUV,208,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
