ranking,Country,,,,
1,United States,,,,
2,China,,,,
3,Germany,,,,
4,Japan,,,,
5,India,,,,
6,United Kingdom,,,,
7,France,,,,
8,Brazil,,,,
9,Italy,,,,
10,Canada,,,,
11,Russia,,,,
12,Mexico,,,,
13,Australia,,,,
14,South Korea,,,,
15,Spain,,,,
16,Indonesia,,,,
17,Netherlands,,,,
18,Turkey,,,,
19,Saudi Arabia,,,,
20,Switzerland,,,,
21,Poland,,,,
22,Taiwan,,,,
23,Belgium,,,,
24,Sweden,,,,
25,Argentina,,,,
26,Ireland,,,,
27,Thailand,,,,
28,Austria,,,,
29,Israel,,,,
30,United Arab Emirates,,,,
31,Norway,,,,
32,Singapore,,,,
33,Philippines,,,,
34,Vietnam,,,,
35,Iran,,,,
36,Bangladesh,,,,
37,Malaysia,,,,
38,Denmark,,,,
39,Hong Kong,,,,
40,Colombia,,,,
41,South Africa,,,,
42,Romania,,,,
43,Egypt,,,,
44,Chile,,,,
45,Czech Republic,,,,
46,Finland,,,,
47,Portugal,,,,
48,Kazakhstan,,,,
49,Peru,,,,
50,Algeria,,,,
51,Iraq,,,,
52,New Zealand,,,,
53,Nigeria,,,,
54,Greece,,,,
55,Qatar,,,,
56,Hungary,,,,
57,Ethiopia,,,,
58,Ukraine,,,,
59,Kuwait,,,,
60,Morocco,,,,
61,Slovakia,,,,
62,Dominican Republic,,,,
63,Ecuador,,,,
64,Puerto Rico,,,,
65,Guatemala,,,,
66,Oman,,,,
67,Bulgaria,,,,
68,Kenya,,,,
69,Venezuela,,,,
70,Uzbekistan,,,,
71,Costa Rica,,,,
72,Angola,,,,
73,Luxembourg,,,,
74,Croatia,,,,
75,Panama,,,,
76,Ivory Coast,,,,
77,Uruguay,,,,
78,Turkmenistan,,,,
79,Serbia,,,,
80,Lithuania,,,,
81,Tanzania,,,,
82,Azerbaijan,,,,
83,Ghana,,,,
84,DR Congo,,,,
85,Slovenia,,,,
86,Belarus,,,,
87,Myanmar,,,,
88,Uganda,,,,
89,Tunisia,,,,
90,Macau,,,,
91,Jordan,,,,
92,Cameroon,,,,
93,Bolivia,,,,
94,Libya,,,,
95,Bahrain,,,,
96,Paraguay,,,,
97,Latvia,,,,
98,Cambodia,,,,
99,Nepal,,,,
100,Estonia,,,,
101,Honduras,,,,
102,Senegal,,,,
103,El Salvador,,,,
104,Zimbabwe,,,,
105,Cyprus,,,,
106,Iceland,,,,
107,Georgia,,,,
108,Papua New Guinea,,,,
109,Zambia,,,,
110,Bosnia and Herzegovina,,,,
111,Trinidad and Tobago,,,,
112,Sudan,,,,
113,Guinea,,,,
114,Albania,,,,
115,Armenia,,,,
116,Haiti,,,,
117,Mozambique,,,,
118,Malta,,,,
119,Mongolia,,,,
120,Burkina Faso,,,,
121,Mali,,,,
122,Botswana,,,,
123,Benin,,,,
124,Guyana,,,,
125,Gabon,,,,
126,Jamaica,,,,
127,Nicaragua,,,,
128,Niger,,,,
129,Chad,,,,
130,Moldova,,,,
131,Yemen,,,,
132,Madagascar,,,,
133,Mauritius,,,,
134,North Macedonia,,,,
135,Brunei,,,,
136,Republic of the Congo,,,,
137,Laos,,,,
138,Bahamas,,,,
139,Rwanda,,,,
140,Kyrgyzstan,,,,
141,Tajikistan,,,,
142,Somalia,,,,
143,Namibia,,,,
144,Malawi,,,,
145,Equatorial Guinea,,,,
146,Mauritania,,,,
147,Togo,,,,
148,Montenegro,,,,
149,Maldives,,,,
150,Barbados,,,,
151,South Sudan,,,,
152,Fiji,,,,
153,Eswatini,,,,
154,Liberia,,,,
155,Sierra Leone,,,,
156,Djibouti,,,,
157,Suriname,,,,
158,Aruba,,,,
159,Andorra,,,,
160,Belize,,,,
161,Bhutan,,,,
162,Burundi,,,,
163,Central African Republic,,,,
164,Cape Verde,,,,
165,Gambia,,,,
166,Saint Lucia,,,,
167,Lesotho,,,,
168,Seychelles,,,,
169,Guinea Bissau,,,,
170,Antigua and Barbuda,,,,
171,San Marino,,,,
172,Timor Leste,,,,
173,Solomon Islands,,,,
174,Comoros,,,,
175,Grenada,,,,
176,Vanuatu,,,,
177,Saint Kitts and Nevis,,,,
178,Saint Vincent and the Grenadines,,,,
179,Samoa,,,,
180,Sao Tome and Principe,,,,
181,Dominica,,,,
182,Tonga,,,,
183,Micronesia,,,,
184,Kiribati,,,,
185,Palau,,,,
186,Marshall Islands,,,,
187,Nauru,,,,
188,Tuvalu,,,,
189,Afghanistan,,,,
190,Bermuda,,,,
191,British Virgin Islands,,,,
192,Cayman Islands,,,,
193,Sri Lanka,,,,
194,Cook Islands,,,,
195,Cuba,,,,
196,Eritrea,,,,
197,French Polynesia,,,,
198,Palestine,,,,
199,Greenland,,,,
200,North Korea,,,,
201,Kosovo,,,,
202,Lebanon,,,,
203,Liechtenstein,,,,
204,Monaco,,,,
205,Montserrat,,,,
206,Curacao,,,,
207,Sint Maarten,,,,
208,New Caledonia,,,,
209,Pakistan,,,,
210,Anguilla,,,,
211,Syria,,,,
212,Turks and Caicos Islands,,,,
