Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.467,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2023
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.083,22.743,25.431,26.911,28.691,30.542,32.534,34.674,2022
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",225.631,244.746,266.78,277.339,287.038,294.125,300.405,306.032,2022
Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.376,3.726,3.897,4.033,4.16,4.289,4.421,4.554,2022
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",122.826,94.381,92.123,95.386,98.704,104.687,109.642,114.976,2022
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.758,1.954,2.127,2.258,2.367,2.48,2.6,2.725,2022
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",630.662,654.892,604.26,558.957,592.49,629.443,663.404,694.081,2022
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.514,24.155,25.408,27.151,29.151,31.284,33.575,36.048,2022
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.545,3.937,4.069,4.181,4.308,4.442,4.58,4.723,2022
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,724.92","1,741.88","1,790.35","1,863.24","1,940.48","2,016.88","2,107.31","2,208.40",2023
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",471.216,519.71,540.887,561.734,581.023,598.329,615.262,632.535,2023
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",78.721,76.639,78.749,81.438,84.596,88.192,92.414,97.433,2022
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.897,13.816,14.39,14.926,15.443,15.959,16.522,17.102,2022
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",44.383,44.674,46.79,48.729,50.733,52.982,55.427,58.098,2022
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",460.201,446.349,455.162,491.815,546.924,613.706,691.865,779.978,2023
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.841,6.388,6.863,7.268,7.643,8.019,8.412,8.81,2022
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",72.835,71.805,69.048,70.815,73.435,76.402,80.005,83.378,2022
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",583.895,630.11,655.192,673.248,693.456,714.154,737.174,759.32,2023
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.831,3.094,3.296,3.456,3.589,3.726,3.869,4.017,2022
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",17.439,19.398,21.371,23.107,24.927,26.914,29.064,31.398,2022
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.869,2.897,3.11,3.395,3.705,3.98,4.283,4.654,2022
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",44.315,46.473,49.334,52.52,55.752,59.205,62.871,66.761,2022
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.535,27.216,29.078,30.754,32.436,34.052,35.72,37.722,2022
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.352,20.445,21.418,22.779,24.828,26.791,28.909,31.184,2022
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,951.85","2,173.67","2,331.39","2,437.91","2,596.12","2,760.06","2,903.89","3,058.23",2023
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.682,15.128,15.51,16.319,17.025,17.771,18.678,19.769,2023
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",90.422,101.611,107.933,114.461,120.579,126.442,132.618,138.756,2023
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.906,20.382,21.902,23.56,25.237,27.011,28.929,30.961,2022
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.917,4.216,3.075,3.299,3.787,4.226,4.654,4.97,2022
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.246,2.52,2.718,2.904,3.092,3.293,3.505,3.734,2022
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",39.063,41.855,45.15,48.725,52.61,56.747,61.097,65.607,2022
