Country,IN REPORTED CURRENCY,CURRENCY REPORTED *,INTERNATIONAL DOLLARS (AT PURCHASING POWER PARITY),IN US$ AT OFFICIAL EXCHANGE RATES,SPECIFIC EXCISE,AD VALOREM EXCISE,VALUE ADDED TAX/SALES TAX,IMPORT DUTIES,OTHER TAXES,TOTAL TAX +
Algeria,350, DZD ,7.73,2.41,10.93%,8.38%,14.28%,0.00%,10.57%,44.16%
Angola,"1,000.00", AOA ,4.38,2.31,0.00%,1.62%,8.98%,3.61%,3.80%,18.01%
Benin,500, -   ,2.47,0.78,0.00%,8.98%,3.36%,0.00%,0.89%,13.23%
Botswana,48, BWP ,10.24,3.85,37.96%,0.00%,10.71%,0.00%,6.50%,55.17%
Burkina Faso,750, XOF ,3.89,1.17,0.00%,28.25%,15.25%,0.00%,0.00%,43.50%
Burundi,"2,000.00", BIF ,2.91,0.98,22.00%,0.00%,15.25%,0.00%,0.00%,37.25%
Cabo Verde,300, CVE ,6.77,2.75,23.33%,4.59%,2.09%,0.00%,0.18%,30.19%
Cameroon,700, XAF ,3.15,1.09,14.29%,0.00%,16.14%,5.93%,2.00%,38.36%
Central African Republic,800, XAF ,2.83,1.24,1.25%,19.10%,15.97%,0.00%,0.00%,36.32%
Chad,500, XAF ,1.96,0.78,20.00%,14.64%,15.25%,0.00%,4.98%,54.87%
Comoros,500, KMF ,2.79,1.04,0.00%,62.24%,9.09%,0.00%,2.18%,73.51%
Congo,750, XAF ,1.92,1.17,0.00%,8.98%,15.90%,0.00%,0.00%,24.87%
C?te d'Ivoire,800, XOF ,3.41,1.24,0.00%,24.21%,15.25%,0.00%,0.00%,39.47%
Democratic Republic of the Congo,"1,000.00", CDF ,0.99,0.5,0.00%,38.31%,13.79%,0.00%,0.00%,52.11%
Equatorial Guinea,500, XAF ,1.48,0.78,0.00%,10.69%,11.83%,10.69%,0.00%,33.21%
Eritrea, . . . , . . , . . . , . . . ,. . .,. . .,. . .,. . .,. . .,. . .
Eswatini,48, SZL ,8.12,2.9,41.29%,0.00%,13.04%,0.00%,0.00%,54.34%
Ethiopia,40, ETB ,2.35,0.77,20.00%,15.45%,13.04%,0.00%,0.00%,48.49%
Gabon,"1,000.00", XAF ,2.84,1.55,15.00%,4.71%,15.25%,3.39%,0.30%,38.65%
Gambia,100, GMD ,5.67,1.85,30.00%,0.00%,13.04%,0.91%,3.22%,47.17%
Ghana,9, GHS ,3.32,1.24,0.00%,11.95%,3.73%,1.37%,5.50%,22.55%
Guinea, . . . , . . , . . . , . . . ,. . .,. . .,. . .,. . .,. . .,. . .
Guinea-Bissau,400, XOF ,2.15,0.62,0.00%,2.93%,1.24%,1.08%,0.49%,5.73%
Kenya,400, KES ,9.3,3.37,19.13%,0.00%,13.79%,0.00%,0.00%,32.92%
Lesotho,50, LSL ,7.92,3.03,39.64%,0.00%,13.04%,0.00%,0.00%,52.68%
Liberia,280, LRD ,4.16,1.84,24.54%,0.00%,9.09%,1.25%,0.12%,35.01%
Madagascar,"4,600.00", MGA ,3.84,1.12,31.09%,39.85%,16.67%,0.00%,0.13%,87.74%
Malawi,900, MWK ,2.83,0.87,33.74%,0.00%,14.16%,0.00%,0.00%,47.90%
Mali,800, XOF ,3.93,1.24,0.00%,8.18%,6.82%,4.85%,0.61%,20.46%
Mauritania,40, MRU ,3.28,1.1,0.00%,6.80%,4.77%,3.78%,2.47%,17.82%
Mauritius,190, MUR ,11.69,4.21,65.14%,0.00%,13.04%,0.00%,0.00%,78.18%
Mozambique,90, MZN ,3.76,1.41,9.33%,0.00%,14.53%,0.00%,0.00%,23.86%
Namibia,50, NAD ,6.97,3.04,37.56%,0.00%,13.04%,0.00%,0.00%,50.60%
Niger,500, XOF ,2.07,0.78,0.00%,18.79%,15.97%,0.00%,1.27%,36.03%
Nigeria,540, NGN ,3.33,1.27,15.56%,21.47%,6.98%,0.00%,0.00%,44.00%
Rwanda,"1,000.00", RWF ,2.97,0.97,13.00%,36.00%,15.25%,0.00%,0.00%,64.25%
Sao Tome and Principe,35, STN ,3.25,1.45,14.29%,11.68%,0.00%,3.89%,0.00%,29.85%
Senegal,800, XOF ,3.4,1.24,0.00%,33.38%,15.25%,0.00%,0.00%,48.64%
Seychelles,130, SCR ,17.01,9.25,56.46%,0.00%,13.04%,0.00%,0.00%,69.51%
Sierra Leone, . . . , . . , . . . , . . . ,. . .,. . .,. . .,. . .,. . .,. . .
South Africa,42.13, ZAR ,6.04,2.55,47.04%,0.00%,13.04%,0.00%,0.00%,60.09%
South Sudan,750, SSP ,4.14,1.19,0.00%,36.85%,15.25%,0.00%,11.05%,63.15%
Togo,600, XOF ,2.69,0.93,0.00%,8.95%,15.25%,0.00%,0.69%,24.90%
Uganda,"5,000.00", UGX ,3.85,1.29,22.00%,0.00%,7.75%,0.00%,0.00%,29.75%
United Republic of Tanzania,"4,000.00", TZS ,4.68,1.74,14.71%,0.00%,15.25%,0.00%,0.00%,29.97%
Zambia,20, ZMW ,3.29,1.22,8.88%,0.00%,13.79%,0.00%,0.00%,22.67%
Zimbabwe,531, ZWL ,1.49,1.2,8.36%,13.10%,13.04%,0.00%,0.00%,34.50%
Antigua and Barbuda,10.44, XCD ,5.08,3.87,0.00%,0.00%,13.04%,0.00%,1.88%,14.93%
Argentina,300, ARS ,4.43,2.29,0.00%,61.94%,4.94%,0.00%,9.56%,76.45%
Bahamas,11.8, BSD ,14.55,11.8,42.37%,0.00%,9.09%,0.00%,2.12%,53.58%
Barbados,16.8, BBD ,7.27,8.4,28.10%,0.00%,14.89%,0.00%,0.00%,42.99%
Belize,5.79, BZD ,4.57,2.9,22.45%,0.00%,11.11%,0.00%,0.00%,33.56%
Bolivia (Plurinational State of),15, BOB ,5.98,2.17,19.96%,0.00%,11.50%,0.00%,0.00%,31.46%
Brazil,5.5, BRL ,2.15,1.06,27.27%,10.00%,32.00%,0.00%,10.97%,80.25%
Canada,13.22, CAD ,10.53,10.31,54.47%,0.00%,8.87%,0.00%,0.00%,63.34%
Chile,"3,500.00", CLP ,7.59,3.84,34.30%,30.00%,15.97%,0.00%,0.00%,80.26%
