瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公
,,檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
碍釜,2004,2004-06-10, ,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2004-04-10, , , , , , , ,2004-03-17, , , , , , , , , , , ,2004-04-29, , , ,2004-02-28, ,2004-03-12, , , ,2004-03-14, ,2004-03-17, , , ,2004-03-14, ,2004-03-20, , , ,2004-03-16, ,2004-03-26, , , ,2004-03-12, ,2004-03-26, , , ,2004-03-18, ,2004-03-27, , , 
碍釜,2005,2005-04-12, ,2005-10-20, , , , , ,搬螟,—, , , , , , ,2005-04-03, , , , , , , ,2005-03-17, , , , , , , , , , , ,2005-04-26, , , ,2005-02-25, ,2005-03-22, , , ,2005-03-16, ,2005-03-27, , , ,2005-03-19, ,2005-04-09, , , ,2005-03-17, ,2005-04-07, , , ,2005-03-18, ,2005-04-10, , , ,2005-03-18, ,2005-04-16, , , 
碍釜,2006,搬螟,—,搬螟,—, , , , ,搬螟,—, , , , , , ,2006-05-04, , , , , , , ,2006-03-05, , , , , , , , , , , ,搬螟,—, , ,2006-03-03, ,2006-03-20, , , ,2006-03-06, ,2006-03-12, , , ,2006-03-07, ,2006-03-25, , , ,2006-03-20, ,2006-04-03, , , ,2006-03-26, ,2006-04-07, , , ,2006-03-26, ,2006-04-10, , , 
碍釜,2007,2007-04-30, ,搬螟,—, , , , ,搬螟,—, , , , , , ,2007-05-02, , , , , , , ,2007-04-07, , , , , , , , , , , ,2007-04-07, , , ,2007-02-22, ,2007-03-08, , , ,2007-02-25, ,2007-03-22, , , ,2007-02-27, ,2007-03-22, , , ,2007-03-09, ,2007-03-29, , , ,2007-03-13, ,2007-03-30, , , ,2007-03-14, ,2007-04-09, , , 
碍釜,2008,2008-04-23, , , , , , , ,包螟 救凳,—, , , , , , ,2008-05-03, , , ,2008-05-03, , , ,2008-04-14, , , , , , , , , , , ,2008-04-09, , , ,2008-02-27, ,2008-03-18, , , ,2008-02-27, ,2008-03-22, , , ,2008-02-28, ,2008-04-05, , , ,2008-03-19, ,2008-04-03, , , ,2008-02-28, ,2008-04-05, , , ,2008-03-01, ,2008-04-09, , , 
碍釜,2009, , , , , , , , , , ,包螟 救凳,—, , , , , , , , ,2009-04-11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
措包飞,2004, , , , , , , , ,2004-04-13, , , , , , , , , , , , , , , ,2004-04-13,-39老, , , , , , , , , , , , , , , , , , , , ,2004-04-10,-9老,2004-04-16,-11老, , ,2004-04-12,-10老,2004-04-17,-13老, , ,2004-04-14,-11老,2004-04-24,-11老, , , , , , , , , , , , , , 
措包飞,2005, , , , , , , , , , , , , , , , , , , , , , , , ,2005-04-18,-34老, , , , , , , , , , , , , , , , , , , , ,2005-04-14,-5老,2005-04-25,-2老, , ,2005-04-18,-4老,2005-04-25,-5老, , ,2005-04-21,-4老,2005-04-29,-6老, , , , , , , , , , , , , , 
措包飞,2006, , , , , , , , , , , , , , , , , , , , , , , , ,2006-04-03,-49老, , , , , , , , , , , , , , , , , , , , ,2006-04-21,2老,2006-04-30,3老, , ,2006-04-29,7老,2006-05-03,3老, , ,2006-05-05,10老,2006-05-12,7老, , , , , , , , , , , , , , 
措包飞,2007,2007-05-02,5老, , , , , , ,2007-05-23, , , , , , , ,2007-03-30, , , , , , , ,2007-05-03,-19老, , , , , , , , , , , , , , , , , , , , ,2007-04-18,-1老,2007-04-26,-1老, , ,2007-04-24,2老,2007-05-02,2老, , ,2007-04-24,-1老,2007-05-08,3老, , , , , , , , , , , , , , 
措包飞,2008,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2008-04-11, , , , , , , ,搬螟,—, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , , , , , , , ,2008-04-12,-7老,2008-04-22,-5老, , ,2008-04-21,-1老,2008-04-30,0老, , ,2008-04-30,5老,2008-05-05,0老, , , , , , , , , , , , , , 
