년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2004,143,14.4,8.9,20.3
2005,143,14.2,8.5,20.4
2006,143,13.5,8.5,19.2
2007,143,14.3,9,20.2
2008,143,14.5,9.1,20.5
2009,143,15.1,9.4,21.4
2010,143,12.6,7.8,17.8
2011,143,13.2,7.9,18.9
2012,143,14.3,9.4,20.1
2013,143,14.1,8.2,20.7
2014,143,15.5,9.9,21.6
2015,143,15.2,9.4,21.2
2016,143,14.6,8.9,20.7
2017,143,14.8,8.8,21.1
2018,143,14.5,8.8,20.6
2019,143,14.5,8.4,20.8
2020,143,13.8,8,20.2
2021,143,14.3,8.8,20.3
2022,143,15.4,9.1,22
2023,143,15.3,9.3,21.6
2024,143,14.7,9,21
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"			",,,,
